Sample,CARD Short name,Donor,Milieu,Tissue
ODIWGS38,mefH,OD4,Mucosa,AscendingColon
ODIWGS38,acrD,OD4,Mucosa,AscendingColon
ODIWGS38,tet(Q),OD4,Mucosa,AscendingColon
ODIWGS38,Bbif_ileS_MUP,OD4,Mucosa,AscendingColon
ODIWGS38,lnuC,OD4,Mucosa,AscendingColon
ODIWGS38,eptA,OD4,Mucosa,AscendingColon
ODIWGS38,Paer_emrE,OD4,Mucosa,AscendingColon
ODIWGS38,abeS,OD4,Mucosa,AscendingColon
ODIWGS38,tet(O/W),OD4,Mucosa,AscendingColon
ODIWGS38,Bado_rpoB_RIF,OD4,Mucosa,AscendingColon
ODIWGS38,AcrF,OD4,Mucosa,AscendingColon
ODIWGS38,CRP,OD4,Mucosa,AscendingColon
ODIWGS38,tetB(P),OD4,Mucosa,AscendingColon
ODIWGS38,tet(W/32/O),OD4,Mucosa,AscendingColon
ODIWGS38,tet(32),OD4,Mucosa,AscendingColon
ODIWGS38,tet(40),OD4,Mucosa,AscendingColon
ODIWGS38,mdtG,OD4,Mucosa,AscendingColon
ODIWGS38,efrB,OD4,Mucosa,AscendingColon
ODIWGS38,emeA,OD4,Mucosa,AscendingColon
ODIWGS38,vanU_in_vanG_cl,OD4,Mucosa,AscendingColon
ODIWGS38,SAT-4,OD4,Mucosa,AscendingColon
ODIWGS38,PmrF,OD4,Mucosa,AscendingColon
ODIWGS38,tet(O/W/32/O),OD4,Mucosa,AscendingColon
ODIWGS38,qacEdelta1,OD4,Mucosa,AscendingColon
ODIWGS38,ykkC,OD4,Mucosa,AscendingColon
ODIWGS38,YojI,OD4,Mucosa,AscendingColon
ODIWGS38,Ecol_emrE,OD4,Mucosa,AscendingColon
ODIWGS38,bacA,OD4,Mucosa,AscendingColon
ODIWGS38,ykkD,OD4,Mucosa,AscendingColon
ODIWGS38,acrB,OD4,Mucosa,AscendingColon
ODIWGS38,aad(6),OD4,Mucosa,AscendingColon
ODIWGS38,tet(O),OD4,Mucosa,AscendingColon
ODIWGS38,Kpne_KpnF,OD4,Mucosa,AscendingColon
ODIWGS38,AcrE,OD4,Mucosa,AscendingColon
ODIWGS38,dfrE,OD4,Mucosa,AscendingColon
ODIWGS38,APH(3')-IIIa,OD4,Mucosa,AscendingColon
ODIWGS38,RbpA,OD4,Mucosa,AscendingColon
ODIWGS38,emrA,OD4,Mucosa,AscendingColon
ODIWGS38,Mrx,OD4,Mucosa,AscendingColon
ODIWGS38,YajC,OD4,Mucosa,AscendingColon
ODIWGS38,baeS,OD4,Mucosa,AscendingColon
ODIWGS38,ErmB,OD4,Mucosa,AscendingColon
ODIWGS39,tet(M),OD9,Mucosa,AscendingColon
ODIWGS39,vanV_in_vanB_cl,OD9,Mucosa,AscendingColon
ODIWGS39,vanXY_in_vanC,OD9,Mucosa,AscendingColon
ODIWGS39,APH(2'')-IIa,OD9,Mucosa,AscendingColon
ODIWGS39,qacL,OD9,Mucosa,AscendingColon
ODIWGS39,tet(44),OD9,Mucosa,AscendingColon
ODIWGS39,tet(O/M/O),OD9,Mucosa,AscendingColon
ODIWGS39,tet(W/N/W),OD9,Mucosa,AscendingColon
ODIWGS39,efmA,OD9,Mucosa,AscendingColon
ODIWGS39,tet(W),OD9,Mucosa,AscendingColon
ODIWGS39,mreA,OD9,Mucosa,AscendingColon
ODIWGS39,msrC,OD9,Mucosa,AscendingColon
ODIWGS39,lnuC,OD9,Mucosa,AscendingColon
ODIWGS39,abeS,OD9,Mucosa,AscendingColon
ODIWGS39,dfrF,OD9,Mucosa,AscendingColon
ODIWGS39,tet(O/W),OD9,Mucosa,AscendingColon
ODIWGS39,Bado_rpoB_RIF,OD9,Mucosa,AscendingColon
ODIWGS39,tet(32),OD9,Mucosa,AscendingColon
ODIWGS39,vanU_in_vanG_cl,OD9,Mucosa,AscendingColon
ODIWGS39,SAT-4,OD9,Mucosa,AscendingColon
ODIWGS39,vanR_in_vanC_cl,OD9,Mucosa,AscendingColon
ODIWGS39,tet(O/W/32/O),OD9,Mucosa,AscendingColon
ODIWGS39,Ecol_emrE,OD9,Mucosa,AscendingColon
ODIWGS39,AAC(6')-Ii,OD9,Mucosa,AscendingColon
ODIWGS39,aad(6),OD9,Mucosa,AscendingColon
ODIWGS39,tet(O),OD9,Mucosa,AscendingColon
ODIWGS39,Saga_mprF,OD9,Mucosa,AscendingColon
ODIWGS39,vanT_in_vanC_cl,OD9,Mucosa,AscendingColon
ODIWGS39,vanC,OD9,Mucosa,AscendingColon
ODIWGS39,APH(3')-IIIa,OD9,Mucosa,AscendingColon
ODIWGS39,vanS_in_vanC_cl,OD9,Mucosa,AscendingColon
ODIWGS39,ANT(4')-Ib,OD9,Mucosa,AscendingColon
ODIWGS39,tet(O/32/O),OD9,Mucosa,AscendingColon
ODIWGS39,ErmB,OD9,Mucosa,AscendingColon
ODIWGS40,tet(O),OD3,Mucosa,Duodenum
ODIWGS40,Bado_rpoB_RIF,OD3,Mucosa,Duodenum
ODIWGS40,tet(Q),OD3,Mucosa,Duodenum
ODIWGS40,qacE,OD3,Mucosa,Duodenum
ODIWGS41,TEM-126,OD2,Mucosa,Jejunum
ODIWGS41,EC-18,OD2,Mucosa,Jejunum
ODIWGS41,mdtO,OD2,Mucosa,Jejunum
ODIWGS41,qacE,OD2,Mucosa,Jejunum
ODIWGS41,mdtB,OD2,Mucosa,Jejunum
ODIWGS41,Kpne_KpnE,OD2,Mucosa,Jejunum
ODIWGS41,emrB,OD2,Mucosa,Jejunum
ODIWGS41,TolC,OD2,Mucosa,Jejunum
ODIWGS41,mdtC,OD2,Mucosa,Jejunum
ODIWGS41,qacG,OD2,Mucosa,Jejunum
ODIWGS41,mdtE,OD2,Mucosa,Jejunum
ODIWGS41,marA,OD2,Mucosa,Jejunum
ODIWGS41,qacL,OD2,Mucosa,Jejunum
ODIWGS41,mdtF,OD2,Mucosa,Jejunum
ODIWGS41,cpxA,OD2,Mucosa,Jejunum
ODIWGS41,ugd,OD2,Mucosa,Jejunum
ODIWGS41,tet(W),OD2,Mucosa,Jejunum
ODIWGS41,msbA,OD2,Mucosa,Jejunum
ODIWGS41,Ecol_mdfA,OD2,Mucosa,Jejunum
ODIWGS41,acrD,OD2,Mucosa,Jejunum
ODIWGS41,AAC(6')-Ib7,OD2,Mucosa,Jejunum
ODIWGS41,kdpE,OD2,Mucosa,Jejunum
ODIWGS41,eptA,OD2,Mucosa,Jejunum
ODIWGS41,Paer_emrE,OD2,Mucosa,Jejunum
ODIWGS41,sul2,OD2,Mucosa,Jejunum
ODIWGS41,abeS,OD2,Mucosa,Jejunum
ODIWGS41,baeR,OD2,Mucosa,Jejunum
ODIWGS41,AcrF,OD2,Mucosa,Jejunum
ODIWGS41,CRP,OD2,Mucosa,Jejunum
ODIWGS41,tetB(P),OD2,Mucosa,Jejunum
ODIWGS41,emrY,OD2,Mucosa,Jejunum
ODIWGS41,AcrS,OD2,Mucosa,Jejunum
ODIWGS41,APH(6)-Id,OD2,Mucosa,Jejunum
ODIWGS41,mdtG,OD2,Mucosa,Jejunum
ODIWGS41,evgA,OD2,Mucosa,Jejunum
ODIWGS41,Ecol_acrA,OD2,Mucosa,Jejunum
ODIWGS41,mdtN,OD2,Mucosa,Jejunum
ODIWGS41,leuO,OD2,Mucosa,Jejunum
ODIWGS41,evgS,OD2,Mucosa,Jejunum
ODIWGS41,PmrF,OD2,Mucosa,Jejunum
ODIWGS41,emrR,OD2,Mucosa,Jejunum
ODIWGS41,emrK,OD2,Mucosa,Jejunum
ODIWGS41,EC-13,OD2,Mucosa,Jejunum
ODIWGS41,ykkC,OD2,Mucosa,Jejunum
ODIWGS41,Ecol_ampC_BLA,OD2,Mucosa,Jejunum
ODIWGS41,APH(3'')-Ib,OD2,Mucosa,Jejunum
ODIWGS41,mdtP,OD2,Mucosa,Jejunum
ODIWGS41,YojI,OD2,Mucosa,Jejunum
ODIWGS41,qacH,OD2,Mucosa,Jejunum
ODIWGS41,Ecol_emrE,OD2,Mucosa,Jejunum
ODIWGS41,bacA,OD2,Mucosa,Jejunum
ODIWGS41,gadX,OD2,Mucosa,Jejunum
ODIWGS41,ykkD,OD2,Mucosa,Jejunum
ODIWGS41,acrB,OD2,Mucosa,Jejunum
ODIWGS41,rsmA,OD2,Mucosa,Jejunum
ODIWGS41,tet(O),OD2,Mucosa,Jejunum
ODIWGS41,gadW,OD2,Mucosa,Jejunum
ODIWGS41,Kpne_KpnF,OD2,Mucosa,Jejunum
ODIWGS41,AcrE,OD2,Mucosa,Jejunum
