Species1	Species2	Values
Naumovozyma castellii	[Eubacterium] siraeum	-0.198713068551145
Naumovozyma castellii	Eubacterium callanderi	-0.157896201685917
Naumovozyma castellii	Eubacterium limosum	-0.103223654578495
Naumovozyma castellii	uncultured Clostridia bacterium	-0.186236083071934
Naumovozyma castellii	[Clostridium] innocuum	-0.177620375292289
Naumovozyma castellii	Erysipelotrichaceae bacterium 66202529	-0.142275377823375
Naumovozyma castellii	Faecalitalea cylindroides	0.495493849963836
Naumovozyma castellii	Nocardia gipuzkoensis	0.407836112468738
Naumovozyma castellii	Lawsonella clevelandensis	-0.130075924678921
Naumovozyma castellii	Actinomyces graevenitzii	-0.109296211998175
Naumovozyma castellii	Actinomyces naeslundii	-0.106655963861286
Naumovozyma castellii	Actinomyces pacaensis	-0.13204488543026
Naumovozyma castellii	Bifidobacterium longum	-0.209011857737293
Naumovozyma castellii	Eggerthella lenta	-0.177227302888503
Naumovozyma castellii	Collinsella aerofaciens	0.276745668953189
Naumovozyma castellii	Legionella pneumophila	0.408109827620175
Naumovozyma castellii	Escherichia coli	-0.0668633662238045
Naumovozyma castellii	Klebsiella pneumoniae	-0.126242373410743
Naumovozyma castellii	Salmonella enterica	0.0313173079581472
Naumovozyma castellii	Polynucleobacter sp. MG-Unter2-18	0.347748007397945
Naumovozyma castellii	Granulibacter bethesdensis	0.182435038856319
Naumovozyma castellii	Bacteroides thetaiotaomicron	-0.168225525541433
Naumovozyma castellii	Phocaeicola vulgatus	-0.198162905746925
Naumovozyma castellii	Parabacteroides distasonis	-0.188867200771301
Naumovozyma castellii	Parabacteroides merdae	-0.147933996945998
Naumovozyma castellii	Alistipes shahii	-0.156191913270242
Naumovozyma castellii	Akkermansia muciniphila	-0.127281829305806
Naumovozyma castellii	uncultured human fecal virus	-0.221045726918966
Naumovozyma castellii	Geobacillus zalihae	-0.114809985778667
Naumovozyma castellii	Limosilactobacillus oris	-0.192993477808438
Naumovozyma castellii	Bifidobacterium adolescentis	-0.0681175847748412
Naumovozyma castellii	Bifidobacterium pseudocatenulatum	0.577622909773003
Naumovozyma castellii	Bifidobacterium bifidum	0.665776604918369
Naumovozyma castellii	Prevotella copri	0.275901796530777
Naumovozyma castellii	Streptococcus lutetiensis	0.831410874422276
Naumovozyma castellii	Streptococcus infantarius	0.832245041143195
Naumovozyma castellii	Acidaminococcus intestini	-0.155277312648576
Naumovozyma castellii	Streptococcus equinus	0.827163492732345
Naumovozyma castellii	Streptococcus gallolyticus	0.816105310898895
Naumovozyma castellii	Limosilactobacillus mucosae	0.836502843709659
Naumovozyma castellii	Prevotella dentalis	0.41526843889146
Naumovozyma castellii	Shigella flexneri	0.0278085891587518
Naumovozyma castellii	Methanobrevibacter smithii	0.83436429952215
Kluyveromyces marxianus	Homo sapiens	-0.0144267886465583
Kluyveromyces marxianus	Saccharomyces cerevisiae	0.295563839646373
Kluyveromyces marxianus	Naumovozyma castellii	0.949919888170782
Kluyveromyces marxianus	Kluyveromyces marxianus	1
Kluyveromyces marxianus	Candida tropicalis	0.191936149701618
Kluyveromyces marxianus	Candida dubliniensis	0.0941330917233124
Kluyveromyces marxianus	Candida albicans	-0.00697617084458728
Kluyveromyces marxianus	Yarrowia lipolytica	0.504748057015299
Kluyveromyces marxianus	Sugiyamaella lignohabitans	0.575972100335992
Kluyveromyces marxianus	Botrytis cinerea	0.147259271346242
Kluyveromyces marxianus	Fusarium pseudograminearum	0.549598000468317
Kluyveromyces marxianus	Aspergillus oryzae	-0.0272174547617681
Kluyveromyces marxianus	Toxoplasma gondii	0.089844578010149
Kluyveromyces marxianus	Trypanosoma brucei	0.141202732749006
Kluyveromyces marxianus	Leishmania infantum	0.100330377518334
Kluyveromyces marxianus	Bacillus cereus	0.280389228005787
Kluyveromyces marxianus	Bacillus thuringiensis	0.509128767517935
Kluyveromyces marxianus	Amphibacillus xylanus	0.39635748706121
Kluyveromyces marxianus	Streptococcus thermophilus	-0.0747239879546826
Kluyveromyces marxianus	Streptococcus sp. A12	-0.0697615251582318
