Species1	Species2	Values
Saccharomyces cerevisiae	Faecalibacterium sp. IP329	0.0853357
Saccharomyces cerevisiae	Faecalibacterium sp. I2392	0.0357017
Saccharomyces cerevisiae	Faecalibacterium sp. I4384	-0.050531
Saccharomyces cerevisiae	[Eubacterium] siraeum	-0.00646455
Saccharomyces cerevisiae	Flavonifractor plautii	0.0760913
Saccharomyces cerevisiae	Vescimonas coprocola	0.0942793
Saccharomyces cerevisiae	Clostridium sp. M62/1	0.0318001
Saccharomyces cerevisiae	Eubacterium callanderi	0.138761
Saccharomyces cerevisiae	Eubacterium sp. c-25	0.0370417
Saccharomyces cerevisiae	Eubacterium limosum	0.138861
Saccharomyces cerevisiae	Clostridioides difficile	0.13421
Saccharomyces cerevisiae	Mogibacterium diversum	0.0232714
Saccharomyces cerevisiae	butyrate-producing bacterium SS3/4	0.029428
Saccharomyces cerevisiae	uncultured Clostridia bacterium	0.064227
Saccharomyces cerevisiae	Clostridia bacterium UC5.1-1D4	-0.030453
Saccharomyces cerevisiae	Erysipelatoclostridium ramosum	0.204774
Saccharomyces cerevisiae	[Clostridium] innocuum	0.00918329
Saccharomyces cerevisiae	Erysipelotrichaceae bacterium 66202529	0.113169
Saccharomyces cerevisiae	Longicatena caecimuris	0.135901
Saccharomyces cerevisiae	Faecalitalea cylindroides	-0.135028
Saccharomyces cerevisiae	Parvimonas micra	0.146683
Saccharomyces cerevisiae	Lawsonella clevelandensis	0.374636
Saccharomyces cerevisiae	Actinomyces graevenitzii	0.145002
Saccharomyces cerevisiae	Actinomyces naeslundii	0.143688
Saccharomyces cerevisiae	Actinomyces sp. oral taxon 414	0.134412
Saccharomyces cerevisiae	Actinomyces pacaensis	0.162626
Saccharomyces cerevisiae	Actinomyces oris	0.12182
Saccharomyces cerevisiae	Schaalia odontolytica	0.141149
Saccharomyces cerevisiae	Pauljensenia hongkongensis	0.139635
Saccharomyces cerevisiae	Bifidobacterium longum	0.220493
Saccharomyces cerevisiae	Eggerthella lenta	0.0932633
Saccharomyces cerevisiae	Adlercreutzia hattorii	0.126861
Saccharomyces cerevisiae	Adlercreutzia equolifaciens	0.0459551
Saccharomyces cerevisiae	Collinsella aerofaciens	-0.0162783
