OTUID	ODIWGS01	ODIWGS02	ODIWGS03	ODIWGS04	ODIWGS05	ODIWGS06	ODIWGS07	ODIWGS08	ODIWGS09	ODIWGS10	ODIWGS11	ODIWGS12	ODIWGS13	ODIWGS14	ODIWGS15	ODIWGS16	ODIWGS17	ODIWGS18	ODIWGS19	ODIWGS20	ODIWGS21	ODIWGS22	ODIWGS23	ODIWGS24	ODIWGS25	ODIWGS26	ODIWGS27	ODIWGS28	ODIWGS29	ODIWGS30	ODIWGS31	ODIWGS32	ODIWGS33	ODIWGS34	ODIWGS35	ODIWGS36	ODIWGS37	ODIWGS38	ODIWGS39	ODIWGS40	ODIWGS41	ODIWGS42	ODIWGS43	ODIWGS44	ODIWGS45	ODIWGS46	ODIWGS47	ODIWGS48	ODIWGS49	ODIWGS50	ODIWGS51	ODIWGS52	ODIWGS53	ODIWGS54	ODIWGS55	ODIWGS56	ODIWGS57	ODIWGS58	ODIWGS59	ODIWGS60	ODIWGS61	ODIWGS62	ODIWGS63	ODIWGS64	ODIWGS65	ODIWGS66	ODIWGS67	ODIWGS68	ODIWGS69	ODIWGS70	ODIWGS71	ODIWGS72	ODIWGS73	ODIWGS74	ODIWGS75	ODIWGS76	ODIWGS77	ODIWGS78	ODIWGS79	ODIWGS80	ODIWGS81	ODIWGS82	ODIWGS83	ODIWGS84	ODIWGS85	ODIWGS86	ODIWGS87	ODIWGS88	ODIWGS89	ODIWGS90	ODIWGS91	ODIWGS92	ODIWGS93
1.1.1.381	0	0	0	272	0	0	0	0	30	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	35	484	0	0	0	0	0	0	0	0	0	3	0	0	2326	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	7249	0	262	0	0	0	0	367	0	0	0	0	48	5	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.385	0	0	0	0	0	0	0	0	0	0	0	90	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.391	0	0	0	1552	360	0	0	0	1834	819	0	630	293	321	0	34	0	5797	0	0	0	0	0	974	0	0	366	88	515	0	0	0	0	1892	117	0	0	1921	3524	0	0	320	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	997	0	670	0	152	0	0	242	0	0	1387	0	0	39	261	0	0	317	0	0	0	0	41	0	0	0	6	0	0	2477	0	2873	0	221	0	4554
1.1.1.392	0	0	0	0	0	0	0	0	925	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	5	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	509	0	489	0	0	0	0	67	0	0	966	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2172	0	0	0	0	0	174
1.1.1.393	0	0	0	161	49	0	0	0	837	354	0	0	0	0	0	0	0	0	0	0	0	0	0	1027	40	0	0	131	237	0	0	0	0	0	0	0	0	14	5588	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	983	0	521	0	0	0	0	247	0	0	1009	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2504	0	4080	0	89	0	84
1.1.1.395	0	0	0	41	0	0	0	0	114	43	0	0	30	0	0	0	0	307	0	0	0	0	0	0	0	0	11	0	638	0	0	0	0	162	0	0	0	65	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	616	0	396	0	19	0	0	0	0	0	88	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511
1.1.1.399	1	0	0	86	0	0	0	0	92	73	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	6	0	0	0	48	19	0	0	614	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1301	0	69	0	9	0	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.4	0	4	0	1138	194	0	22	0	9103	2453	0	71	57	794	4	0	0	3665	0	24	0	0	0	156	0	3	58	663	4489	10	0	0	21	774	114	0	2200	59316	1176	0	4	0	8	364	0	9	21307	2	0	0	0	0	157	21	0	0	0	7990	0	9055	0	941	0	0	0	0	0	4938	0	12	0	123	7	0	45	0	0	11	3	88	0	13	0	0	6	38	2007	0	1417	7	0	0	1900
1.1.1.40	0	0	6	3410	377	0	9	0	14596	4973	0	193	802	3346	5	668	0	2207	0	5	0	0	9	233	0	0	589	1787	6300	0	0	0	185	509	5	0	529	19703	1743	0	13340	71	0	1074	0	0	15789	0	0	0	0	0	72	98	0	0	4	10929	0	9179	0	707	0	0	11938	0	61	24264	0	807	144	801	0	181	3292	0	0	0	4	1732	19	9	0	0	0	0	40973	0	2120	0	1377	0	1712
1.1.1.405	0	47	0	761	0	0	0	0	2508	1288	0	72	320	1118	0	0	0	2111	0	0	0	0	0	82	0	0	0	0	5015	0	0	0	0	84	66	0	0	453	457	0	0	0	4	558	0	0	31964	0	0	0	0	0	0	0	0	0	0	8105	0	6485	0	650	0	0	897	0	0	1398	0	0	0	196	0	42	0	0	0	0	0	0	0	0	0	0	0	0	5826	0	267	0	0	0	284
1.1.1.41	0	0	0	638	42	0	0	0	2241	781	253	141	200	244	0	18	0	3042	0	0	0	0	0	599	0	0	52	0	396	0	0	0	0	1453	58	0	0	770	2532	0	0	75	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	671	0	1029	0	297	0	0	71	0	0	1128	0	0	0	1400	0	0	170	0	0	0	0	77	0	0	0	0	0	0	1197	0	2696	0	43	0	3290
1.1.1.411	0	0	0	163	0	0	0	0	33	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2505	0	142	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.414	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	53	0	0	0	52	42	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.42	0	49	0	8455	730	4	4	3	73730	28807	1519	896	5997	9986	267	574	0	42525	0	9	0	1479	6	2779	81	0	3995	4917	16493	484	0	0	92	15777	204	3	1230	49661	14375	69	15655	301	0	2448	0	3	72958	0	5	10	0	5	707	142	11	0	61	33786	16	26171	0	2698	0	0	25723	12	10	67654	5	1764	161	18585	0	143	1507	8	0	0	23	2994	21	11	0	20	0	23	100602	6	14879	0	1972	0	40139
1.1.1.44	0	3	0	3011	717	0	26	20	8492	3765	2556	442	7054	10294	155	1066	0	48845	0	0	0	1899	27	1840	122	0	3759	0	6074	1965	21	4	98	26028	992	0	495	28864	9479	44	5278	120	18	1327	0	35	106707	0	3	5	0	0	70	0	18	0	0	7853	0	8752	4	1241	7	4	3167	30	31	7075	1	423	325	30193	9	238	1036	0	0	0	17	665	32	22	0	0	0	13	17515	9	12423	0	1785	11	61993
1.1.1.46	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	24	0	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
1.1.1.47	0	0	0	832	41	0	6	0	1275	273	0	461	455	518	77	258	0	8199	0	0	0	65	0	45	0	0	202	0	882	0	0	0	0	315	0	0	401	29991	238	0	86	35	0	223	0	40	64776	0	0	6	0	0	0	0	0	0	0	4421	6	12531	0	363	6	0	1005	0	0	743	0	8	11	146	12	0	9	0	0	7	8	94	0	0	0	0	0	34	6790	0	351	0	26	0	855
1.1.1.48	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.49	0	0	0	3316	710	0	22	0	5306	2548	1766	4	5424	8554	23	871	4	35924	0	51	0	596	11	874	0	12	2915	1616	3492	381	13	7	231	16284	840	0	724	19903	5000	144	14269	75	0	161	11	11	108988	247	0	5	0	2	0	4	8	0	74	5376	0	6416	0	659	8	0	1533	12	157	35379	5	700	390	20484	40	85	3322	12	0	0	5	566	23	12	8	0	0	4	10311	13	6323	0	1939	5	44341
1.1.1.50	0	0	0	214	0	0	0	0	0	0	0	0	964	567	0	0	0	1918	0	0	0	0	0	0	0	0	1069	0	1146	0	0	0	0	0	0	0	0	25	0	0	0	0	0	456	0	0	17192	0	0	0	0	0	0	0	0	0	0	1955	0	2936	0	295	0	0	0	5	0	0	0	0	0	75	0	0	0	0	0	0	0	3	0	0	0	0	0	0	587	0	0	0	0	0	50
