CARD	ODIWGS86	ODIWGS87	ODIWGS88	ODIWGS89	ODIWGS10	ODIWGS11	ODIWGS12	ODIWGS13	ODIWGS14	ODIWGS15	ODIWGS16	ODIWGS17	ODIWGS30	ODIWGS18	ODIWGS31	ODIWGS32	ODIWGS19	ODIWGS33	ODIWGS34	ODIWGS35	ODIWGS36	ODIWGS50	ODIWGS37	ODIWGS51	ODIWGS38	ODIWGS52	ODIWGS39	ODIWGS53	ODIWGS54	ODIWGS55	ODIWGS56	ODIWGS70	ODIWGS57	ODIWGS71	ODIWGS58	ODIWGS72	ODIWGS59	ODIWGS73	ODIWGS74	ODIWGS75	ODIWGS76	ODIWGS90	ODIWGS77	ODIWGS91	ODIWGS78	ODIWGS92	ODIWGS79	ODIWGS93	ODIWGS01	ODIWGS02	ODIWGS03	ODIWGS04	ODIWGS05	ODIWGS06	ODIWGS07	ODIWGS20	ODIWGS08	ODIWGS21	ODIWGS09	ODIWGS22	ODIWGS23	ODIWGS24	ODIWGS25	ODIWGS26	ODIWGS40	ODIWGS27	ODIWGS41	ODIWGS28	ODIWGS42	ODIWGS29	ODIWGS43	ODIWGS44	ODIWGS45	ODIWGS46	ODIWGS60	ODIWGS47	ODIWGS61	ODIWGS48	ODIWGS62	ODIWGS49	ODIWGS63	ODIWGS64	ODIWGS65	ODIWGS66	ODIWGS80	ODIWGS67	ODIWGS81	ODIWGS68	ODIWGS82	ODIWGS69	ODIWGS83	ODIWGS84	ODIWGS85
LMB-1 [ARO:3005018]	0	4	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PER-4 [ARO:3002366]	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
farA [ARO:3003961]	0	0	0	1	1	0	35	19	1	0	46	0	0	35	0	0	0	7	0	15	1	0	22	0	9	0	0	0	7	0	0	105	0	0	0	3	1	0	1	157	1	0	0	69	0	0	0	0	0	0	0	198	18	0	0	0	0	0	25	1	0	0	1	0	0	50	1057	25	16	1	0	26	0	1	1	1	0	0	14	0	0	0	7	1	10	2	0	2234	1	0	0	0	0
FosM2 [ARO:3007098]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	1	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acrB [ARO:3000216]	0	1	0	13	11	0	28	199	109	1	92	0	0	67	0	0	0	78	12	20	0	0	45	0	52	0	9	1	0	0	0	182	3	37	57	17	0	6	17	477	0	30	2	339	0	0	0	15	0	1	1	650	67	0	0	0	25	0	105	0	0	2	6	0	3	282	1449	109	1	24	1	22	0	1	28	59	0	50	9	0	0	0	51	0	48	0	1	2964	0	1	0	1	0
ACC-1a [ARO:3006228]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APH(4)-Ia [ARO:3002655]	0	0	0	0	0	0	0	5	21	0	11	0	0	0	0	0	0	0	7	0	0	0	3	0	7	0	3	0	7	0	0	0	0	27	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	3	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aacA43 [ARO:3004641]	0	0	0	8	7	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FosD [ARO:3004674]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afab_ACT_CHL [ARO:3004451]	0	177	0	85	26	0	2	19	6	0	1	0	1	260	0	0	0	7	33	16	0	0	0	0	83	0	38	0	0	0	0	0	0	1	83	18	0	0	2	3	0	0	0	0	0	0	0	53	0	0	0	17	0	0	0	0	0	0	75	0	1	12	5	0	0	33	16	0	0	79	0	9	0	0	35	770	0	0	2	0	0	0	31	0	6	0	0	64	0	0	0	0	0
OXA-118 [ARO:3001768]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mphH [ARO:3004539]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	22	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OXA-205 [ARO:3001483]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tet(O/W) [ARO:3007121]	1	772	0	165	159	0	14	5	53	0	0	0	0	146	0	0	0	23	52	3	0	0	6	0	267	0	240	10	0	0	1	0	0	1	185	21	0	0	1	1	0	0	0	8	0	0	0	79	0	0	0	50	7	1	0	0	0	0	160	0	0	21	12	0	0	4	3	2	0	148	0	8	0	0	92	36	0	0	7	0	0	1	168	0	1	0	0	60	0	0	0	0	1
emrB [ARO:3000074]	1	0	0	12	18	0	10	30	33	0	33	0	0	90	1	0	0	3	6	31	0	0	19	2	51	0	4	0	0	0	0	233	19	0	6	4	0	3	0	488	1	1	0	47	0	1	0	21	1	0	0	232	2	0	0	1	0	0	75	0	0	0	11	3	0	23	1402	131	0	2	0	1	0	1	2	10	0	0	9	0	0	0	4	4	16	0	0	2515	1	0	0	0	0
CMY-98 [ARO:3002111]	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	22	0	0	0	0	0
OXA-114s [ARO:3005718]	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dfrA27 [ARO:3004550]	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	0	0	0	0	0	0	13	0	0	0	0	0	0	0	7	0	0	0	7	1	0	0	0	0	0	1	0	0	0	0	0	0	0	76	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
norC [ARO:3007010]	1	440	1	19	0	0	0	0	20	1	19	0	0	10	2	0	0	0	4	6	0	0	0	0	2	0	21	0	0	1	0	1	0	8	472	1	0	6	15	0	0	0	0	28	0	0	1	7	2	0	0	0	0	0	3	1	0	1	3	0	2	1	2	0	0	0	4	1	5	785	3	109	3	12	771	13574	1	34	87	0	5	1	26	0	0	3	0	0	0	0	0	0	1
tap [ARO:3000343]	0	115	0	87	19	0	2	2	1	0	2	0	0	161	0	0	0	0	44	0	0	0	0	0	37	0	61	0	0	0	0	0	0	0	48	1	0	0	0	11	0	0	0	0	0	0	0	126	0	0	0	34	12	0	0	0	0	0	58	0	0	13	0	0	0	1	2	1	0	11	0	34	0	0	25	1	0	0	8	0	0	0	0	1	8	0	0	23	0	0	0	0	0
oleI [ARO:3000866]	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0
